document_id,source_type,source_name,publication_timestamp,ingestion_timestamp,language,country,title,body_text,document_type,url_or_reference
DOC-001-1,news,Mock Financial Newswire,2026-07-16,2026-07-16,en,Germany,WLF001 dividend increase and share buyback,"Wolf Germany Healthcare 1 (WLF001): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF001/1
DOC-001-2,exchange_announcement,Mock Financial Newswire,2026-07-05,2026-07-16,en,Germany,WLF001 profit warning and margin pressure,"Wolf Germany Healthcare 1 (WLF001): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF001/2
DOC-001-3,analyst_commentary,Mock Financial Newswire,2026-06-24,2026-07-16,en,Germany,WLF001 regulatory probe update,Wolf Germany Healthcare 1 (WLF001): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF001/3
DOC-002-1,exchange_announcement,Mock Financial Newswire,2026-07-13,2026-07-16,en,Switzerland,WLF002 profit warning and margin pressure,"Wolf Switzerland Consumer Staples 2 (WLF002): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF002/1
DOC-002-2,analyst_commentary,Mock Financial Newswire,2026-07-02,2026-07-16,en,Switzerland,WLF002 regulatory probe update,Wolf Switzerland Consumer Staples 2 (WLF002): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF002/2
DOC-002-3,regulatory_filing,Mock Financial Newswire,2026-06-21,2026-07-16,en,Switzerland,WLF002 litigation and debt pressure,"Wolf Switzerland Consumer Staples 2 (WLF002): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF002/3
DOC-003-1,analyst_commentary,Mock Financial Newswire,2026-07-10,2026-07-16,en,France,WLF003 regulatory probe update,Wolf France Utilities 3 (WLF003): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF003/1
DOC-003-2,regulatory_filing,Mock Financial Newswire,2026-06-29,2026-07-16,en,France,WLF003 litigation and debt pressure,"Wolf France Utilities 3 (WLF003): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF003/2
DOC-003-3,credit_signal,Mock Financial Newswire,2026-06-18,2026-07-16,en,France,WLF003 contract win and guidance raised,"Wolf France Utilities 3 (WLF003): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF003/3
DOC-004-1,regulatory_filing,Mock Financial Newswire,2026-07-07,2026-07-16,en,Netherlands,WLF004 litigation and debt pressure,"Wolf Netherlands Financials 4 (WLF004): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF004/1
DOC-004-2,credit_signal,Mock Financial Newswire,2026-06-26,2026-07-16,en,Netherlands,WLF004 contract win and guidance raised,"Wolf Netherlands Financials 4 (WLF004): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF004/2
DOC-004-3,news,Mock Financial Newswire,2026-06-15,2026-07-16,en,Netherlands,WLF004 annual report released,Wolf Netherlands Financials 4 (WLF004): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF004/3
DOC-005-1,credit_signal,Mock Financial Newswire,2026-07-04,2026-07-16,en,United Kingdom,WLF005 contract win and guidance raised,"Wolf United Kingdom Industrials 5 (WLF005): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF005/1
DOC-005-2,news,Mock Financial Newswire,2026-06-23,2026-07-16,en,United Kingdom,WLF005 annual report released,Wolf United Kingdom Industrials 5 (WLF005): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF005/2
DOC-005-3,exchange_announcement,Mock Financial Newswire,2026-06-12,2026-07-16,en,United Kingdom,WLF005 dividend increase and share buyback,"Wolf United Kingdom Industrials 5 (WLF005): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF005/3
DOC-006-1,news,Mock Financial Newswire,2026-07-01,2026-07-16,en,China,WLF006 annual report released,Wolf China Technology 6 (WLF006): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF006/1
DOC-006-2,exchange_announcement,Mock Financial Newswire,2026-06-20,2026-07-16,en,China,WLF006 dividend increase and share buyback,"Wolf China Technology 6 (WLF006): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF006/2
DOC-006-3,analyst_commentary,Mock Financial Newswire,2026-06-09,2026-07-16,en,China,WLF006 profit warning and margin pressure,"Wolf China Technology 6 (WLF006): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF006/3
DOC-007-1,exchange_announcement,Mock Financial Newswire,2026-06-28,2026-07-16,en,Hong Kong,WLF007 dividend increase and share buyback,"Wolf Hong Kong Healthcare 7 (WLF007): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF007/1
DOC-007-2,analyst_commentary,Mock Financial Newswire,2026-06-17,2026-07-16,en,Hong Kong,WLF007 profit warning and margin pressure,"Wolf Hong Kong Healthcare 7 (WLF007): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF007/2
DOC-007-3,regulatory_filing,Mock Financial Newswire,2026-06-06,2026-07-16,en,Hong Kong,WLF007 regulatory probe update,Wolf Hong Kong Healthcare 7 (WLF007): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF007/3
DOC-008-1,analyst_commentary,Mock Financial Newswire,2026-06-25,2026-07-16,en,Germany,WLF008 profit warning and margin pressure,"Wolf Germany Consumer Staples 8 (WLF008): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF008/1
DOC-008-2,regulatory_filing,Mock Financial Newswire,2026-06-14,2026-07-16,en,Germany,WLF008 regulatory probe update,Wolf Germany Consumer Staples 8 (WLF008): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF008/2
DOC-008-3,credit_signal,Mock Financial Newswire,2026-06-03,2026-07-16,en,Germany,WLF008 litigation and debt pressure,"Wolf Germany Consumer Staples 8 (WLF008): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF008/3
DOC-009-1,regulatory_filing,Mock Financial Newswire,2026-06-22,2026-07-16,en,Switzerland,WLF009 regulatory probe update,Wolf Switzerland Utilities 9 (WLF009): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF009/1
DOC-009-2,credit_signal,Mock Financial Newswire,2026-06-11,2026-07-16,en,Switzerland,WLF009 litigation and debt pressure,"Wolf Switzerland Utilities 9 (WLF009): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF009/2
DOC-009-3,news,Mock Financial Newswire,2026-05-31,2026-07-16,en,Switzerland,WLF009 contract win and guidance raised,"Wolf Switzerland Utilities 9 (WLF009): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF009/3
DOC-010-1,credit_signal,Mock Financial Newswire,2026-06-19,2026-07-16,en,France,WLF010 litigation and debt pressure,"Wolf France Financials 10 (WLF010): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF010/1
DOC-010-2,news,Mock Financial Newswire,2026-06-08,2026-07-16,en,France,WLF010 contract win and guidance raised,"Wolf France Financials 10 (WLF010): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF010/2
DOC-010-3,exchange_announcement,Mock Financial Newswire,2026-05-28,2026-07-16,en,France,WLF010 annual report released,Wolf France Financials 10 (WLF010): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF010/3
DOC-011-1,news,Mock Financial Newswire,2026-06-16,2026-07-16,en,Netherlands,WLF011 contract win and guidance raised,"Wolf Netherlands Industrials 11 (WLF011): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF011/1
DOC-011-2,exchange_announcement,Mock Financial Newswire,2026-06-05,2026-07-16,en,Netherlands,WLF011 annual report released,Wolf Netherlands Industrials 11 (WLF011): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF011/2
DOC-011-3,analyst_commentary,Mock Financial Newswire,2026-05-25,2026-07-16,en,Netherlands,WLF011 dividend increase and share buyback,"Wolf Netherlands Industrials 11 (WLF011): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF011/3
DOC-012-1,exchange_announcement,Mock Financial Newswire,2026-06-13,2026-07-16,en,United Kingdom,WLF012 annual report released,Wolf United Kingdom Technology 12 (WLF012): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF012/1
DOC-012-2,analyst_commentary,Mock Financial Newswire,2026-06-02,2026-07-16,en,United Kingdom,WLF012 dividend increase and share buyback,"Wolf United Kingdom Technology 12 (WLF012): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF012/2
DOC-012-3,regulatory_filing,Mock Financial Newswire,2026-05-22,2026-07-16,en,United Kingdom,WLF012 profit warning and margin pressure,"Wolf United Kingdom Technology 12 (WLF012): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF012/3
DOC-013-1,analyst_commentary,Mock Financial Newswire,2026-06-10,2026-07-16,en,China,WLF013 dividend increase and share buyback,"Wolf China Healthcare 13 (WLF013): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF013/1
DOC-013-2,regulatory_filing,Mock Financial Newswire,2026-05-30,2026-07-16,en,China,WLF013 profit warning and margin pressure,"Wolf China Healthcare 13 (WLF013): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF013/2
DOC-013-3,credit_signal,Mock Financial Newswire,2026-05-19,2026-07-16,en,China,WLF013 regulatory probe update,Wolf China Healthcare 13 (WLF013): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF013/3
DOC-014-1,regulatory_filing,Mock Financial Newswire,2026-06-07,2026-07-16,en,Hong Kong,WLF014 profit warning and margin pressure,"Wolf Hong Kong Consumer Staples 14 (WLF014): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF014/1
DOC-014-2,credit_signal,Mock Financial Newswire,2026-05-27,2026-07-16,en,Hong Kong,WLF014 regulatory probe update,Wolf Hong Kong Consumer Staples 14 (WLF014): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF014/2
DOC-014-3,news,Mock Financial Newswire,2026-05-16,2026-07-16,en,Hong Kong,WLF014 litigation and debt pressure,"Wolf Hong Kong Consumer Staples 14 (WLF014): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF014/3
DOC-015-1,credit_signal,Mock Financial Newswire,2026-06-04,2026-07-16,en,Germany,WLF015 regulatory probe update,Wolf Germany Utilities 15 (WLF015): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF015/1
DOC-015-2,news,Mock Financial Newswire,2026-05-24,2026-07-16,en,Germany,WLF015 litigation and debt pressure,"Wolf Germany Utilities 15 (WLF015): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF015/2
DOC-015-3,exchange_announcement,Mock Financial Newswire,2026-05-13,2026-07-16,en,Germany,WLF015 contract win and guidance raised,"Wolf Germany Utilities 15 (WLF015): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF015/3
DOC-016-1,news,Mock Financial Newswire,2026-06-01,2026-07-16,en,Switzerland,WLF016 litigation and debt pressure,"Wolf Switzerland Financials 16 (WLF016): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF016/1
DOC-016-2,exchange_announcement,Mock Financial Newswire,2026-05-21,2026-07-16,en,Switzerland,WLF016 contract win and guidance raised,"Wolf Switzerland Financials 16 (WLF016): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF016/2
DOC-016-3,analyst_commentary,Mock Financial Newswire,2026-05-10,2026-07-16,en,Switzerland,WLF016 annual report released,Wolf Switzerland Financials 16 (WLF016): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF016/3
DOC-017-1,exchange_announcement,Mock Financial Newswire,2026-05-29,2026-07-16,en,France,WLF017 contract win and guidance raised,"Wolf France Industrials 17 (WLF017): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF017/1
DOC-017-2,analyst_commentary,Mock Financial Newswire,2026-05-18,2026-07-16,en,France,WLF017 annual report released,Wolf France Industrials 17 (WLF017): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF017/2
DOC-017-3,regulatory_filing,Mock Financial Newswire,2026-05-07,2026-07-16,en,France,WLF017 dividend increase and share buyback,"Wolf France Industrials 17 (WLF017): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF017/3
DOC-018-1,analyst_commentary,Mock Financial Newswire,2026-05-26,2026-07-16,en,Netherlands,WLF018 annual report released,Wolf Netherlands Technology 18 (WLF018): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF018/1
DOC-018-2,regulatory_filing,Mock Financial Newswire,2026-05-15,2026-07-16,en,Netherlands,WLF018 dividend increase and share buyback,"Wolf Netherlands Technology 18 (WLF018): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF018/2
DOC-018-3,credit_signal,Mock Financial Newswire,2026-05-04,2026-07-16,en,Netherlands,WLF018 profit warning and margin pressure,"Wolf Netherlands Technology 18 (WLF018): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF018/3
DOC-019-1,regulatory_filing,Mock Financial Newswire,2026-05-23,2026-07-16,en,United Kingdom,WLF019 dividend increase and share buyback,"Wolf United Kingdom Healthcare 19 (WLF019): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF019/1
DOC-019-2,credit_signal,Mock Financial Newswire,2026-05-12,2026-07-16,en,United Kingdom,WLF019 profit warning and margin pressure,"Wolf United Kingdom Healthcare 19 (WLF019): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF019/2
DOC-019-3,news,Mock Financial Newswire,2026-05-01,2026-07-16,en,United Kingdom,WLF019 regulatory probe update,Wolf United Kingdom Healthcare 19 (WLF019): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF019/3
DOC-020-1,credit_signal,Mock Financial Newswire,2026-05-20,2026-07-16,en,China,WLF020 profit warning and margin pressure,"Wolf China Consumer Staples 20 (WLF020): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF020/1
DOC-020-2,news,Mock Financial Newswire,2026-05-09,2026-07-16,en,China,WLF020 regulatory probe update,Wolf China Consumer Staples 20 (WLF020): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF020/2
DOC-020-3,exchange_announcement,Mock Financial Newswire,2026-04-28,2026-07-16,en,China,WLF020 litigation and debt pressure,"Wolf China Consumer Staples 20 (WLF020): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF020/3
DOC-021-1,news,Mock Financial Newswire,2026-05-17,2026-07-16,en,Hong Kong,WLF021 regulatory probe update,Wolf Hong Kong Utilities 21 (WLF021): A regulatory probe and governance concern remain under review after delayed disclosures.,regulatory_notice,mock://WLF021/1
DOC-021-2,exchange_announcement,Mock Financial Newswire,2026-05-06,2026-07-16,en,Hong Kong,WLF021 litigation and debt pressure,"Wolf Hong Kong Utilities 21 (WLF021): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF021/2
DOC-021-3,analyst_commentary,Mock Financial Newswire,2026-04-25,2026-07-16,en,Hong Kong,WLF021 contract win and guidance raised,"Wolf Hong Kong Utilities 21 (WLF021): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF021/3
DOC-022-1,exchange_announcement,Mock Financial Newswire,2026-05-14,2026-07-16,en,Germany,WLF022 litigation and debt pressure,"Wolf Germany Financials 22 (WLF022): Litigation, debt pressure and refinancing risk increased after a credit downgrade.",litigation_notice,mock://WLF022/1
DOC-022-2,analyst_commentary,Mock Financial Newswire,2026-05-03,2026-07-16,en,Germany,WLF022 contract win and guidance raised,"Wolf Germany Financials 22 (WLF022): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF022/2
DOC-022-3,regulatory_filing,Mock Financial Newswire,2026-04-22,2026-07-16,en,Germany,WLF022 annual report released,Wolf Germany Financials 22 (WLF022): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF022/3
DOC-023-1,analyst_commentary,Mock Financial Newswire,2026-05-11,2026-07-16,en,Switzerland,WLF023 contract win and guidance raised,"Wolf Switzerland Industrials 23 (WLF023): Strong demand, a major contract win and guidance raised supported cash flow and management confidence.",earnings_release,mock://WLF023/1
DOC-023-2,regulatory_filing,Mock Financial Newswire,2026-04-30,2026-07-16,en,Switzerland,WLF023 annual report released,Wolf Switzerland Industrials 23 (WLF023): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF023/2
DOC-023-3,credit_signal,Mock Financial Newswire,2026-04-19,2026-07-16,en,Switzerland,WLF023 dividend increase and share buyback,"Wolf Switzerland Industrials 23 (WLF023): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF023/3
DOC-024-1,regulatory_filing,Mock Financial Newswire,2026-05-08,2026-07-16,en,France,WLF024 annual report released,Wolf France Technology 24 (WLF024): Annual report released with ordinary dividend confirmed and board meeting update.,annual_report,mock://WLF024/1
DOC-024-2,credit_signal,Mock Financial Newswire,2026-04-27,2026-07-16,en,France,WLF024 dividend increase and share buyback,"Wolf France Technology 24 (WLF024): Management announced a dividend increase, resilient cash flow, margin expansion and a share buyback.",dividend_announcement,mock://WLF024/2
DOC-024-3,news,Mock Financial Newswire,2026-04-16,2026-07-16,en,France,WLF024 profit warning and margin pressure,"Wolf France Technology 24 (WLF024): The company issued a profit warning due to weak demand, margin pressure and visibility limited by macro headwinds.",profit_warning,mock://WLF024/3
