event_id,document_id,security_id,event_type,event_severity,event_direction,event_timestamp,confidence_score,source_type
DOC-001-1-WOLF001-dividend_increase,DOC-001-1,WOLF001,dividend_increase,55,positive,2026-07-24,1.0,news
DOC-001-1-WOLF001-buyback,DOC-001-1,WOLF001,buyback,55,positive,2026-07-24,1.0,news
DOC-001-2-WOLF001-profit_warning,DOC-001-2,WOLF001,profit_warning,75,negative,2026-07-13,1.0,exchange_announcement
DOC-001-3-WOLF001-regulatory_probe,DOC-001-3,WOLF001,regulatory_probe,75,negative,2026-07-02,1.0,analyst_commentary
DOC-001-3-WOLF001-governance_red_flag,DOC-001-3,WOLF001,governance_red_flag,75,negative,2026-07-02,1.0,analyst_commentary
DOC-002-1-WOLF002-profit_warning,DOC-002-1,WOLF002,profit_warning,75,negative,2026-07-21,1.0,exchange_announcement
DOC-002-2-WOLF002-regulatory_probe,DOC-002-2,WOLF002,regulatory_probe,75,negative,2026-07-10,1.0,analyst_commentary
DOC-002-2-WOLF002-governance_red_flag,DOC-002-2,WOLF002,governance_red_flag,75,negative,2026-07-10,1.0,analyst_commentary
DOC-002-3-WOLF002-rating_downgrade,DOC-002-3,WOLF002,rating_downgrade,75,negative,2026-06-29,1.0,regulatory_filing
DOC-002-3-WOLF002-debt_refinancing,DOC-002-3,WOLF002,debt_refinancing,75,negative,2026-06-29,1.0,regulatory_filing
DOC-002-3-WOLF002-legal_case,DOC-002-3,WOLF002,legal_case,75,negative,2026-06-29,1.0,regulatory_filing
DOC-003-1-WOLF003-regulatory_probe,DOC-003-1,WOLF003,regulatory_probe,75,negative,2026-07-18,1.0,analyst_commentary
DOC-003-1-WOLF003-governance_red_flag,DOC-003-1,WOLF003,governance_red_flag,75,negative,2026-07-18,1.0,analyst_commentary
DOC-003-2-WOLF003-rating_downgrade,DOC-003-2,WOLF003,rating_downgrade,75,negative,2026-07-07,1.0,regulatory_filing
DOC-003-2-WOLF003-debt_refinancing,DOC-003-2,WOLF003,debt_refinancing,75,negative,2026-07-07,1.0,regulatory_filing
DOC-003-2-WOLF003-legal_case,DOC-003-2,WOLF003,legal_case,75,negative,2026-07-07,1.0,regulatory_filing
DOC-003-3-WOLF003-major_contract_win,DOC-003-3,WOLF003,major_contract_win,55,positive,2026-06-26,1.0,credit_signal
